fpl_code,understat_player_id,fpl_player_name,fpl_position,confidence_level,mapping_status
7645,587,Jagielka,DEF,HIGH,mapped
9089,803,Foster,GK,HIGH,mapped
14937,2371,Ronaldo,FWD,HIGH,mapped
15033,748,Morgan,DEF,HIGH,mapped
15157,489,Milner,MID,HIGH,mapped
15749,609,Hart,GK,HIGH,mapped
17349,593,Lennon,MID,HIGH,mapped
17601,8158,Carson,GK,HIGH,mapped
17745,745,Schmeichel,GK,HIGH,mapped
17761,1665,Tarkowski,DEF,HIGH,mapped
17997,857,Bardsley,DEF,HIGH,mapped
18073,533,Noble,MID,HIGH,mapped
18499,8022,McGovern,GK,HIGH,mapped
18507,802,Diego Costa,FWD,HIGH,mapped
18867,7712,Sharp,FWD,HIGH,mapped
18892,631,Young,DEF,HIGH,mapped
18987,1691,Snodgrass,MID,HIGH,mapped
19188,512,Dann,DEF,HIGH,mapped
19236,785,Ruddy,GK,HIGH,mapped
19419,699,Cahill,DEF,HIGH,mapped
19624,3422,Moutinho,MID,HIGH,mapped
20066,509,Hennessey,GK,HIGH,mapped
20310,624,Caballero,GK,HIGH,mapped
20452,839,Long,FWD,HIGH,mapped
20467,503,Walcott,MID,HIGH,mapped
20480,982,Krul,GK,HIGH,mapped
21205,1651,Heaton,GK,HIGH,mapped
27436,7711,McGoldrick,FWD,HIGH,mapped
27789,614,Fernandinho,MID,HIGH,mapped
28411,2243,Navas,GK,HIGH,mapped
28690,2164,Hernández,MID,HIGH,mapped
32259,540,Randolph,GK,HIGH,mapped
36903,2251,Bale,MID,HIGH,mapped
37096,706,Fabianski,GK,HIGH,mapped
37339,1685,El Mohamady,DEF,HIGH,mapped
37402,749,Fuchs,DEF,HIGH,mapped
37572,619,Agüero,FWD,HIGH,mapped
37642,807,Evans,DEF,HIGH,mapped
37915,637,Lloris,GK,HIGH,mapped
38290,641,Rose,DEF,HIGH,mapped
38533,6849,Patrício,GK,HIGH,mapped
38588,9423,Berardi,DEF,HIGH,mapped
38716,6822,Peltier,DEF,HIGH,mapped
39155,486,Lallana,MID,HIGH,mapped
39487,887,Pieters,DEF,HIGH,mapped
39790,2259,Casilla,GK,HIGH,mapped
40142,537,Carroll,FWD,HIGH,mapped
40145,712,Cork,MID,HIGH,mapped
40146,835,Bertrand,DEF,HIGH,mapped
40349,694,Begovic,GK,HIGH,mapped
40383,831,Forster,GK,HIGH,mapped
40386,7704,Basham,DEF,HIGH,mapped
40387,462,Gosling,MID,HIGH,mapped
40669,528,Ogbonna,DEF,HIGH,mapped
40720,3294,Cavani,FWD,HIGH,mapped
40784,485,Sakho,DEF,HIGH,mapped
40836,2190,Guaita,GK,HIGH,mapped
40845,6051,Stephens,MID,HIGH,mapped
41135,682,Ivanovic,DEF,HIGH,mapped
41270,1676,David Luiz,DEF,HIGH,mapped
41328,681,Azpilicueta,DEF,HIGH,mapped
41338,581,Cathcart,DEF,HIGH,mapped
41674,1747,Long,DEF,HIGH,mapped
41725,574,Deeney,FWD,HIGH,mapped
41733,771,Wijnaldum,MID,HIGH,mapped
41823,876,Delph,MID,HIGH,mapped
42427,545,Gibbs,DEF,HIGH,mapped
43250,596,Cleverley,MID,HIGH,mapped
43670,554,Mata,MID,HIGH,mapped
44346,502,Giroud,FWD,HIGH,mapped
44683,844,Rodriguez,FWD,HIGH,mapped
44699,4422,Barnes,FWD,HIGH,mapped
45034,448,Perišić,DEF,HIGH,mapped
45124,713,A.Ayew,MID,HIGH,mapped
45268,772,Sissoko,MID,HIGH,mapped
47247,7709,Fleck,MID,HIGH,mapped
47390,710,Taylor,DEF,HIGH,mapped
47431,700,Willian,MID,HIGH,mapped
48717,529,Reid,DEF,HIGH,mapped
48760,6030,Zanka,DEF,HIGH,mapped
49262,7235,Steele,GK,HIGH,mapped
49413,530,Tomkins,DEF,HIGH,mapped
49440,1738,Robson-Kanu,FWD,HIGH,mapped
49944,1689,Livermore,MID,HIGH,mapped
49957,3231,Grosicki,MID,HIGH,mapped
50093,6843,Button,GK,HIGH,mapped
50175,501,Welbeck,FWD,HIGH,mapped
50229,1737,Phillips,MID,HIGH,mapped
50232,769,Shelvey,MID,HIGH,mapped
50471,633,McArthur,MID,HIGH,mapped
50472,589,McCarthy,MID,HIGH,mapped
51090,3288,Thiago Silva,DEF,HIGH,mapped
51927,1654,Mee,DEF,HIGH,mapped
