season,fpl_code,element,player_name,position,team_name
2026-27,17761,229,Tarkowski,DEF,Everton
2026-27,21205,414,Heaton,GKP,Man Utd
2026-27,40383,58,Forster,GKP,Bournemouth
2026-27,49262,111,Steele,GKP,Brighton
2026-27,50093,302,Button,GKP,Ipswich Town
2026-27,50175,136,Welbeck,FWD,Chelsea
2026-27,54469,64,Smith,DEF,Bournemouth
2026-27,56979,101,Henderson,MID,Chelsea
2026-27,59735,325,Darlow,GKP,Man Utd
2026-27,60307,124,Groß,MID,Brighton
2026-27,60689,490,Wood,FWD,Nott'm Forest
2026-27,67089,497,Dubravka,GKP,Spurs
2026-27,72147,29,M.Bizot,GKP,Aston Villa
2026-27,75115,108,Wilson,FWD,Brentford
2026-27,76357,266,Cairney,MID,Fulham
2026-27,78916,448,Burn,DEF,Newcastle
2026-27,80178,178,Bidwell,DEF,Coventry City
2026-27,80201,250,Leno,GKP,Fulham
2026-27,81441,443,Gillespie,GKP,Newcastle
2026-27,83299,116,Dunk,DEF,Brighton
2026-27,84450,544,Xhaka,MID,Sunderland
2026-27,85633,467,Sels,GKP,Nott'm Forest
2026-27,86873,251,Lecomte,GKP,Fulham
2026-27,88894,46,Barkley,MID,Aston Villa
2026-27,91651,406,Kovačić,MID,Man City
2026-27,93605,541,Meunier,DEF,Sunderland
2026-27,95658,418,Maguire,DEF,Man Utd
2026-27,97032,356,Virgil,DEF,Liverpool
2026-27,98747,442,Pope,GKP,Newcastle
2026-27,98980,28,Martinez,GKP,Aston Villa
2026-27,101188,30,Digne,DEF,Aston Villa
2026-27,101282,289,Crooks,MID,Hull City
2026-27,105666,274,Butland,GKP,Hull City
2026-27,105717,540,Masuaku,DEF,Sunderland
2026-27,106611,231,Keane,DEF,Everton
2026-27,106760,423,Shaw,DEF,Man Utd
2026-27,108413,212,Hughes,MID,Crystal Palace
2026-27,108416,277,Egan,DEF,Hull City
2026-27,108813,300,Walton,GKP,Ipswich Town
2026-27,109646,147,Tosin,DEF,Chelsea
2026-27,109745,2,Arrizabalaga,GKP,Arsenal
2026-27,110690,172,Wilson,GKP,Coventry City
2026-27,111234,226,Pickford,GKP,Everton
2026-27,111317,74,Brooks,MID,Bournemouth
2026-27,112520,301,Palmer,GKP,Ipswich Town
2026-27,114243,457,J.Murphy,MID,Newcastle
2026-27,114283,238,Grealish,MID,Man City
2026-27,115556,508,Davies,DEF,Spurs
2026-27,116535,350,A.Becker,GKP,Liverpool
2026-27,119471,446,Schär,DEF,Newcastle
2026-27,121709,199,Benitez,GKP,Crystal Palace
2026-27,122074,386,Bettinelli,GKP,Man City
