season,fpl_code,element,player_name,position,team_name,understat_id,understat_player_name,mapping_status,confidence,source
2026-27,17761,229,Tarkowski,DEF,Everton,1665,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,21205,414,Heaton,GKP,Man Utd,1651,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,40383,58,Forster,GKP,Bournemouth,831,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,49262,111,Steele,GKP,Brighton,7235,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,50093,302,Button,GKP,Ipswich Town,6843,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,50175,136,Welbeck,FWD,Chelsea,501,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,54469,64,Smith,DEF,Bournemouth,825,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,56979,101,Henderson,MID,Chelsea,605,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,59735,325,Darlow,GKP,Man Utd,780,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,60307,124,Groß,MID,Brighton,239,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,60689,490,Wood,FWD,Nott'm Forest,4456,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,67089,497,Dubravka,GKP,Spurs,6532,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,72147,29,M.Bizot,GKP,Aston Villa,9614,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,75115,108,Wilson,FWD,Brentford,468,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,76357,266,Cairney,MID,Fulham,6835,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,78916,448,Burn,DEF,Newcastle,7382,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,80178,178,Bidwell,DEF,Coventry City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,80201,250,Leno,GKP,Fulham,181,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,81441,443,Gillespie,GKP,Newcastle,8729,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,83299,116,Dunk,DEF,Brighton,6048,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,84450,544,Xhaka,MID,Sunderland,204,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,85633,467,Sels,GKP,Nott'm Forest,6903,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,86873,251,Lecomte,GKP,Fulham,3451,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,88894,46,Barkley,MID,Aston Villa,592,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,91651,406,Kovačić,MID,Man City,2254,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,93605,541,Meunier,DEF,Sunderland,5680,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,95658,418,Maguire,DEF,Man Utd,1687,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,97032,356,Virgil,DEF,Liverpool,833,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,98747,442,Pope,GKP,Newcastle,5552,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,98980,28,Martinez,GKP,Aston Villa,4401,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,101188,30,Digne,DEF,Aston Villa,1823,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,101282,289,Crooks,MID,Hull City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,105666,274,Butland,GKP,Hull City,856,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,105717,540,Masuaku,DEF,Sunderland,1760,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,106611,231,Keane,DEF,Everton,1653,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,106760,423,Shaw,DEF,Man Utd,1006,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,108413,212,Hughes,MID,Crystal Palace,6104,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,108416,277,Egan,DEF,Hull City,7703,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,108813,300,Walton,GKP,Ipswich Town,9251,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,109646,147,Tosin,DEF,Chelsea,5590,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,109745,2,Arrizabalaga,GKP,Arsenal,5061,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,110690,172,Wilson,GKP,Coventry City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,111234,226,Pickford,GKP,Everton,741,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,111317,74,Brooks,MID,Bournemouth,6820,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,112520,301,Palmer,GKP,Ipswich Town,1038,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,114243,457,J.Murphy,MID,Newcastle,6063,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,114283,238,Grealish,MID,Man City,675,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,115556,508,Davies,DEF,Spurs,660,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,116535,350,A.Becker,GKP,Liverpool,1257,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,119471,446,Schär,DEF,Newcastle,76,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,121709,199,Benitez,GKP,Crystal Palace,5652,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,122074,386,Bettinelli,GKP,Man City,7076,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,122798,502,Robertson,DEF,Spurs,1688,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,122806,45,McGinn,MID,Aston Villa,7723,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,128295,21,Nørgaard,MID,Everton,7083,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,135720,501,Danso,DEF,Spurs,5261,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,138001,228,King,GKP,Everton,12245,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,141746,426,B.Fernandes,MID,Man Utd,1228,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,146426,279,Ajayi,DEF,Hull City,4490,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,147675,320,Akpom,FWD,Ipswich Town,1790,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,149484,33,Mings,DEF,Aston Villa,1024,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,149929,311,Burns,MID,Ipswich Town,12749,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,152551,213,Lerma,MID,Crystal Palace,2182,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,153133,261,Iwobi,MID,Fulham,500,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,153366,270,Reed,MID,Fulham,910,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,153682,260,Wilson,MID,Leeds,5596,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,154561,1,Raya,GKP,Arsenal,9676,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,154566,526,Solanke,FWD,Spurs,1679,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,155405,408,Phillips,MID,Man City,8719,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,155408,71,Cook,MID,Bournemouth,1789,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,155503,352,Woodman,GKP,Liverpool,852,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,158499,75,Christie,MID,Bournemouth,10744,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,158983,374,Endo,MID,Liverpool,8808,,mapped,LOW,smartplayfpl_mapping_release
2026-27,159506,473,Aina,DEF,Nott'm Forest,725,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,160817,285,McNair,DEF,Hull City,559,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,166477,258,Castagne,DEF,Fulham,6157,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,166989,43,Tielemans,MID,Man Utd,5956,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,167074,256,Tete,DEF,Fulham,5973,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,167512,539,O'Nien,DEF,Sunderland,14099,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,167825,273,Phillips,GKP,Hull City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,168144,184,Grimes,MID,Coventry City,1045,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,168636,80,Enes Ünal,FWD,Bournemouth,6219,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,169359,556,Targett,DEF,Hull City,884,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,169432,295,McBurnie,FWD,Hull City,1736,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,169528,254,Robinson,DEF,Fulham,8940,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,169593,555,Matthews,GKP,Crystal Palace,9834,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,171270,288,Dowell,MID,Hull City,1032,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,171287,359,Gomez,DEF,Liverpool,987,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,171314,390,Rúben,DEF,Man City,8961,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,172453,319,Szmodics,MID,Ipswich Town,12752,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,172649,198,Henderson,GKP,Crystal Palace,7702,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,172780,515,Maddison,MID,Spurs,6818,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,173878,176,Dasilva,DEF,Coventry City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,173879,56,Abraham,FWD,Aston Villa,702,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,174594,347,Nmecha,FWD,Leeds,6544,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,174874,253,Andersen,DEF,Fulham,6314,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,176297,429,Rashford,MID,Man Utd,556,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,176412,193,Wright,FWD,Coventry City,5361,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,176420,308,Furlong,DEF,Ipswich Town,4391,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,177815,346,Calvert-Lewin,FWD,Leeds,5555,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,178301,55,Watkins,FWD,Aston Villa,8865,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,180135,339,Longstaff,MID,Leeds,7078,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,180736,143,Chalobah,DEF,Chelsea,6615,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,180974,458,Joelinton,MID,Newcastle,87,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,183015,303,Kipré,DEF,Ipswich Town,8785,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,183656,103,Dasilva,MID,Brentford,10405,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,184029,15,Ødegaard,MID,Arsenal,2517,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,184254,494,Vicario,GKP,Spurs,8858,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,184341,430,Mount,MID,Man Utd,7768,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,184349,269,Sessegnon,DEF,Fulham,6837,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,184667,37,Lindelöf,DEF,Aston Villa,6080,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,191866,87,Ajer,DEF,Brentford,9677,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,193278,280,Coyle,DEF,Hull City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,194010,89,Henry,DEF,Brentford,9679,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,195384,17,Merino,MID,Arsenal,5304,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,195546,41,Buendía,MID,Aston Villa,2203,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,198869,10,White,DEF,Arsenal,7298,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,199598,338,Ampadu,MID,Leeds,6369,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,199796,32,Cash,DEF,Aston Villa,8864,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,199798,31,Konsa,DEF,Aston Villa,7726,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,200089,460,Willock,MID,Newcastle,6630,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,200617,343,James,MID,Leeds,5595,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,200641,24,Nelson,MID,Arsenal,6492,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,200720,82,Kelleher,GKP,Brentford,7904,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,200785,73,Adams,MID,Bournemouth,7352,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,200834,533,Mukiele,DEF,Sunderland,5659,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,201595,326,Perri,GKP,Leeds,12369,,mapped,HIGH,smartplayfpl_mapping_release
