fpl_code,understat_id,understat_player_name,confidence,source,note
93605,5680,Thomas Meunier,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/5680
147675,1790,Chuba Akpom,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/1790
160817,559,Paddy McNair,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/559
168144,1045,Matt Grimes,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/1045
176412,5361,Haji Wright,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/5361
183015,8785,Cédric Kipré,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/8785
204561,7783,Xaver Schlager,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/7783
241117,9978,Azor Matusiwa,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/9978
242313,9011,Oscar Mingueza,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/9011
454490,9887,Michael Svoboda,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/9887
461102,8483,Bobby Thomas,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/8483
465525,8644,Eliot Matazo,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/8644
490161,10526,Abu Kamara,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/10526
503037,11817,Emmanuel Emegha,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/11817
514514,12434,Lewis Koumas,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/12434
515046,14425,Melker Ellborg,HIGH,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/14425
522047,13879,Tarik Muharemović,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/13879
536661,14424,Nilson Angulo,HIGH,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/14424
539142,12955,Aurèle Amenda,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/12955
551499,13279,Victor Munoz,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/13279
561245,11186,Álvaro Rodríguez,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/11186
586268,14168,Ármin Pécsi,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/14168
606702,11545,Jeremy Jacquet,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/11545
611665,13427,Bazoumana Touré,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/13427
614071,13102,Johan Manzambi,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/13102
620109,11551,Marco Palestra,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/11551
632794,13214,Aladji Bamba,MEDIUM,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/13214
653481,14446,Alysson Edward,HIGH,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/14446
699989,14460,Djiamgone Jocelin Ta Bi,HIGH,smartplay_curated_record,Curated supplemental identity; review https://understat.com/player/14460
