season,fpl_code,understat_id,first_gameweek,last_gameweek,mapped_rows
2020-21,7645,587,1,38,38
2020-21,15033,748,1,38,38
2020-21,15157,489,1,38,38
2020-21,15749,609,1,38,38
2020-21,17601,8158,14,38,26
2020-21,17745,745,1,38,38
2020-21,17761,1665,2,38,38
2020-21,17997,857,2,38,38
2020-21,18073,533,1,38,38
2020-21,18867,7712,1,38,38
2020-21,18987,1691,1,38,38
2020-21,19188,512,1,38,38
2020-21,19236,785,1,38,38
2020-21,19419,699,1,38,38
2020-21,19624,3422,1,38,38
2020-21,20066,509,1,38,38
2020-21,20310,624,1,38,38
2020-21,20452,839,1,38,38
2020-21,20467,503,1,38,38
2020-21,21205,1651,2,38,38
2020-21,27436,7711,1,38,38
2020-21,27789,614,2,38,38
2020-21,28690,2164,1,38,38
2020-21,32259,540,1,38,38
2020-21,36903,2251,3,38,36
2020-21,37096,706,1,38,38
2020-21,37339,1685,2,38,38
2020-21,37402,749,1,38,38
2020-21,37572,619,2,38,38
2020-21,37642,807,1,38,38
2020-21,37915,637,1,38,38
2020-21,38290,641,1,38,38
2020-21,38533,6849,1,38,38
2020-21,38588,9423,27,38,12
2020-21,38716,6822,8,38,31
2020-21,39155,486,1,38,38
2020-21,39487,887,2,38,38
2020-21,39790,2259,1,38,38
2020-21,40142,537,1,38,38
2020-21,40145,712,2,38,38
2020-21,40146,835,1,38,38
2020-21,40383,831,1,38,38
2020-21,40386,7704,1,38,38
2020-21,40669,528,1,38,38
2020-21,40720,3294,5,38,35
2020-21,40784,485,1,38,38
2020-21,40836,2190,1,38,38
2020-21,40845,6051,1,38,39
2020-21,41135,682,2,38,37
2020-21,41270,1676,1,38,38
2020-21,41328,681,1,38,38
2020-21,41674,1747,2,38,38
2020-21,41733,771,1,38,38
2020-21,41823,876,1,38,38
2020-21,42427,545,1,38,38
2020-21,43670,554,2,38,38
2020-21,44346,502,1,38,38
2020-21,44683,844,2,38,38
2020-21,44699,4422,2,38,38
2020-21,45268,772,1,38,38
2020-21,47247,7709,1,38,38
2020-21,47390,710,2,38,38
2020-21,47431,700,1,38,38
2020-21,49262,7235,1,38,38
2020-21,49413,530,1,38,38
2020-21,49440,1738,1,38,38
2020-21,49944,1689,1,38,38
2020-21,49957,3231,1,38,38
2020-21,50093,6843,1,38,38
2020-21,50175,501,6,38,33
2020-21,50229,1737,1,38,38
2020-21,50232,769,1,38,38
2020-21,50471,633,1,38,38
2020-21,50472,589,1,38,38
2020-21,51090,3288,1,38,38
2020-21,51927,1654,2,38,38
2020-21,51938,753,1,38,38
2020-21,51940,546,2,38,38
2020-21,54694,318,1,38,38
2020-21,54861,606,1,38,38
2020-21,55037,532,1,38,38
2020-21,55422,714,1,38,38
2020-21,55459,534,1,38,38
2020-21,55494,510,1,38,38
2020-21,55605,639,1,38,38
2020-21,55914,8816,1,38,38
2020-21,56377,6274,1,38,38
2020-21,56979,605,1,38,38
2020-21,56983,461,1,38,38
2020-21,57145,708,1,38,38
2020-21,57328,603,5,38,34
2020-21,57513,3468,1,38,38
2020-21,57531,531,1,38,38
2020-21,58376,635,1,38,38
2020-21,58498,573,2,38,38
2020-21,58621,638,2,38,38
2020-21,58786,525,1,38,38
2020-21,58822,847,1,38,38
2020-21,58845,875,1,38,38
2020-21,59735,780,1,38,38
2020-21,59859,314,2,38,38
2020-21,59940,964,1,38,38
2020-21,59949,585,1,38,38
2020-21,59966,3277,1,38,38
2020-21,60025,2249,1,38,38
2020-21,60232,804,5,38,34
2020-21,60252,775,1,38,38
2020-21,60307,239,1,38,38
2020-21,60551,669,2,38,38
2020-21,60586,1663,2,38,38
2020-21,60689,4456,2,38,38
2020-21,60706,527,1,38,38
2020-21,60914,332,1,38,38
2020-21,61366,447,2,38,38
2020-21,61558,229,2,38,37
2020-21,61600,8757,1,38,38
2020-21,61739,3304,1,38,38
2020-21,61933,6047,1,38,38
2020-21,62398,697,2,38,38
2020-21,62974,644,1,38,38
2020-21,63426,7707,1,38,38
2020-21,66242,6050,1,38,38
2020-21,66588,8716,1,38,38
2020-21,66838,6477,1,38,38
2020-21,66975,5549,1,38,38
