fpl_code,understat_id,player_name,position,first_season,last_season,mapping_status
7645,587,Phil Jagielka,DEF,2020-21,2020-21,mapped
9089,803,Ben Foster,GKP,2021-22,2021-22,mapped
14937,2371,Cristiano Ronaldo dos Santos Aveiro,FWD,2021-22,2022-23,mapped
15033,748,Wes Morgan,DEF,2020-21,2020-21,mapped
15157,489,James Milner,MID,2020-21,2025-26,mapped
15749,609,Joe Hart,GKP,2020-21,2021-22,mapped
17349,593,Aaron Lennon,MID,2021-22,2021-22,mapped
17601,8158,Scott Carson,GKP,2020-21,2024-25,mapped
17745,745,Kasper Schmeichel,GKP,2020-21,2022-23,mapped
17761,1665,James Tarkowski,DEF,2020-21,2025-26,mapped
17997,857,Phil Bardsley,DEF,2020-21,2021-22,mapped
18073,533,Mark Noble,MID,2020-21,2021-22,mapped
18499,8022,Michael McGovern,GKP,2021-22,2021-22,mapped
18507,802,Diego Da Silva Costa,FWD,2022-23,2022-23,mapped
18867,7712,Billy Sharp,FWD,2020-21,2020-21,mapped
18892,631,Ashley Young,DEF,2021-22,2024-25,mapped
18987,1691,Robert Snodgrass,MID,2020-21,2020-21,mapped
19188,512,Scott Dann,DEF,2020-21,2020-21,mapped
19236,785,Ruddy,GKP,2020-21,2025-26,mapped
19419,699,Gary Cahill,DEF,2020-21,2020-21,mapped
19624,3422,João Filipe Iria Santos Moutinho,MID,2020-21,2022-23,mapped
20066,509,Wayne Hennessey,GKP,2020-21,2024-25,mapped
20310,624,Willy Caballero,GKP,2020-21,2022-23,mapped
20452,839,Shane Long,FWD,2020-21,2021-22,mapped
20467,503,Theo Walcott,MID,2020-21,2022-23,mapped
20480,982,Tim Krul,GKP,2021-22,2023-24,mapped
21205,1651,Tom Heaton,GKP,2020-21,2025-26,mapped
27436,7711,David McGoldrick,FWD,2020-21,2020-21,mapped
27789,614,Fernando Luiz Rosa,MID,2020-21,2021-22,mapped
28411,2243,Keylor Navas,GKP,2022-23,2022-23,mapped
28690,2164,Pablo Hernández Domínguez,MID,2020-21,2021-22,mapped
32259,540,Darren Randolph,GKP,2020-21,2023-24,mapped
36903,2251,Gareth Bale,MID,2020-21,2020-21,mapped
37096,706,Lukasz Fabianski,GKP,2020-21,2025-26,mapped
37339,1685,Ahmed El Mohamady,DEF,2020-21,2020-21,mapped
37402,749,Christian Fuchs,DEF,2020-21,2020-21,mapped
37572,619,Sergio Agüero,FWD,2020-21,2020-21,mapped
37642,807,Jonny Evans,DEF,2020-21,2024-25,mapped
37915,637,Hugo Lloris,GKP,2020-21,2023-24,mapped
38290,641,Danny Rose,DEF,2020-21,2021-22,mapped
38533,6849,Rui Pedro dos Santos Patrício,GKP,2020-21,2021-22,mapped
38588,9423,Gaetano Berardi,DEF,2020-21,2020-21,mapped
38716,6822,Lee Peltier,DEF,2020-21,2020-21,mapped
39155,486,Adam Lallana,MID,2020-21,2024-25,mapped
39487,887,Erik Pieters,DEF,2020-21,2021-22,mapped
39790,2259,Francisco Casilla Cortés,GKP,2020-21,2021-22,mapped
40142,537,Andy Carroll,FWD,2020-21,2020-21,mapped
40145,712,Jack Cork,MID,2020-21,2023-24,mapped
40146,835,Ryan Bertrand,DEF,2020-21,2022-23,mapped
40349,694,Asmir Begovic,GKP,2021-22,2024-25,mapped
40383,831,Forster,GKP,2020-21,2025-26,mapped
40386,7704,Chris Basham,DEF,2020-21,2023-24,mapped
40387,462,Dan Gosling,MID,2021-22,2021-22,mapped
40669,528,Angelo Ogbonna,DEF,2020-21,2023-24,mapped
