season,gameweek,fixture,fpl_code,element
2025-26,1,3,15157,170
2025-26,2,16,15157,170
2025-26,3,22,15157,170
2025-26,4,32,15157,170
2025-26,5,43,15157,170
2025-26,6,53,15157,170
2025-26,7,70,15157,170
2025-26,8,71,15157,170
2025-26,9,88,15157,170
2025-26,10,91,15157,170
2025-26,11,104,15157,170
2025-26,12,113,15157,170
2025-26,13,127,15157,170
2025-26,14,133,15157,170
2025-26,15,143,15157,170
2025-26,16,156,15157,170
2025-26,17,163,15157,170
2025-26,18,171,15157,170
2025-26,19,190,15157,170
2025-26,20,193,15157,170
2025-26,21,208,15157,170
2025-26,22,212,15157,170
2025-26,23,227,15157,170
2025-26,24,232,15157,170
2025-26,1,10,17761,291
2025-26,2,16,17761,291
2025-26,3,30,17761,291
2025-26,4,36,17761,291
2025-26,5,46,17761,291
2025-26,6,55,17761,291
2025-26,7,66,17761,291
2025-26,8,76,17761,291
2025-26,9,86,17761,291
2025-26,10,98,17761,291
2025-26,11,105,17761,291
2025-26,12,118,17761,291
2025-26,13,125,17761,291
2025-26,14,132,17761,291
2025-26,15,144,17761,291
2025-26,16,154,17761,291
2025-26,17,164,17761,291
2025-26,18,173,17761,291
2025-26,19,188,17761,291
2025-26,20,194,17761,291
2025-26,21,206,17761,291
2025-26,22,211,17761,291
2025-26,23,226,17761,291
2025-26,24,232,17761,291
2025-26,12,119,19236,753
2025-26,13,125,19236,753
2025-26,14,139,19236,753
2025-26,15,148,19236,753
2025-26,16,159,19236,753
2025-26,17,168,19236,753
2025-26,18,177,19236,753
2025-26,19,183,19236,753
2025-26,20,198,19236,753
2025-26,21,209,19236,753
2025-26,22,220,19236,753
2025-26,23,229,19236,753
2025-26,24,235,19236,753
2025-26,1,9,21205,434
2025-26,2,17,21205,434
2025-26,3,26,21205,434
2025-26,4,38,21205,434
2025-26,5,47,21205,434
2025-26,6,52,21205,434
2025-26,7,68,21205,434
2025-26,8,75,21205,434
2025-26,9,88,21205,434
2025-26,10,97,21205,434
2025-26,11,109,21205,434
2025-26,12,118,21205,434
2025-26,13,124,21205,434
2025-26,14,138,21205,434
2025-26,15,150,21205,434
2025-26,16,157,21205,434
2025-26,17,161,21205,434
2025-26,18,177,21205,434
2025-26,19,187,21205,434
2025-26,20,196,21205,434
2025-26,21,204,21205,434
2025-26,22,216,21205,434
2025-26,23,221,21205,434
2025-26,24,236,21205,434
2025-26,4,40,37096,738
2025-26,5,49,37096,738
2025-26,6,55,37096,738
2025-26,7,61,37096,738
2025-26,8,80,37096,738
2025-26,9,87,37096,738
2025-26,10,100,37096,738
2025-26,11,110,37096,738
2025-26,12,112,37096,738
2025-26,13,130,37096,738
2025-26,14,138,37096,738
2025-26,15,143,37096,738
2025-26,16,160,37096,738
2025-26,17,167,37096,738
