season,fpl_code,element,player_name,position
2020-21,233425,78,Aaron Connolly,FWD
2020-21,55459,435,Aaron Cresswell,DEF
2020-21,74471,60,Aaron Mooy,MID
2020-21,225321,483,Aaron Ramsdale,GKP
2020-21,214590,313,Aaron Wan-Bissaka,DEF
2020-21,121599,512,Abdoulaye Doucouré,MID
2020-21,197030,190,Aboubakar Kamara,MID
2020-21,80179,199,Adam Forshaw,MID
2020-21,39155,54,Adam Lallana,MID
2020-21,110735,66,Adam Webster,DEF
2020-21,159533,465,Adama Traoré,MID
2020-21,461533,638,Ademipo Odubeko,FWD
2020-21,219352,557,Ademola Lookman,MID
2020-21,46483,220,Adrien Silva,MID
2020-21,449926,537,Adrián Bernabé,MID
2020-21,60706,245,Adrián San Miguel del Castillo,GKP
2020-21,37339,29,Ahmed El Mohamady,DEF
2020-21,77777,414,Ahmed El-Sayed Hegazy,DEF
2020-21,154043,15,Ainsley Maitland-Niles,DEF
2020-21,181008,447,Albian Ajeti,FWD
2020-21,128389,184,Aleksandar Mitrović,FWD
2020-21,153133,159,Alex Iwobi,MID
2020-21,58376,363,Alex McCarthy,GKP
2020-21,152590,568,Alex Nicolao Telles,DEF
2020-21,81880,248,Alex Oxlade-Chamberlain,MID
2020-21,449781,643,Alexandre Jankewitz,MID
2020-21,59966,6,Alexandre Lacazette,FWD
2020-21,243016,80,Alexis Mac Allister,MID
2020-21,496179,650,Alfie Devine,MID
2020-21,149266,185,Alfie Mawson,DEF
2020-21,165210,71,Alireza Jahanbakhsh,MID
2020-21,116535,252,Alisson Ramses Becker,GKP
2020-21,119765,502,Allan Marques Loureiro,MID
2020-21,170137,338,Allan Saint-Maximin,MID
2020-21,447093,635,Allan Tchaptchet,DEF
2020-21,84182,516,Alphonse Areola,GKP
2020-21,493250,640,Amad Diallo,MID
2020-21,204676,574,Andi Zeqiri,FWD
2020-21,135363,116,Andreas Christensen,DEF
2020-21,156689,304,Andreas Pereira,MID
2020-21,448487,617,Andreas Söndergaard,GKP
2020-21,122798,255,Andrew Robertson,DEF
2020-21,56377,436,Andriy Yarmolenko,MID
2020-21,60252,137,Andros Townsend,MID
2020-21,120250,158,André Filipe Tavares Gomes,MID
2020-21,203325,191,André-Frank Zambo Anguissa,MID
2020-21,40142,320,Andy Carroll,FWD
2020-21,11948,639,Andy Lonergan,GKP
2020-21,40669,432,Angelo Ogbonna,DEF
2020-21,107265,371,Angus Gunn,GKP
2020-21,195471,536,Anthony Driscoll-Glennon,DEF
2020-21,449434,702,Anthony Elanga,MID
2020-21,232826,168,Anthony Gordon,MID
2020-21,83543,177,Anthony Knockaert,MID
2020-21,465299,612,Anthony Mancini,MID
2020-21,148225,303,Anthony Martial,FWD
2020-21,169528,484,Antonee Robinson,DEF
2020-21,102380,109,Antonio Rüdiger,DEF
2020-21,487836,618,Antwoine Hackford,FWD
2020-21,193488,45,Anwar El Ghazi,MID
2020-21,105717,442,Arthur Masuaku,DEF
2020-21,44699,87,Ashley Barnes,FWD
2020-21,60551,89,Ashley Westwood,MID
2020-21,180804,307,Axel Tuanzebe,DEF
2020-21,146941,280,Aymeric Laporte,DEF
2020-21,168580,229,Ayoze Pérez,MID
2020-21,220037,99,Bailey Peacock-Farrell,GKP
2020-21,108823,394,Bamidele Alli,MID
2020-21,57913,196,Barry Douglas,DEF
2020-21,115556,395,Ben Davies,DEF
2020-21,152898,653,Ben Davies,DEF
2020-21,83312,94,Ben Gibson,DEF
2020-21,198826,566,Ben Godfrey,DEF
2020-21,222018,452,Ben Johnson,DEF
2020-21,51927,88,Ben Mee,DEF
2020-21,167878,356,Ben Osborn,MID
2020-21,198869,74,Ben White,DEF
2020-21,182436,696,Ben Woodburn,MID
2020-21,172850,232,Benjamin Chilwell,DEF
2020-21,102826,274,Benjamin Mendy,DEF
2020-21,100649,154,Bernard Anício Caldeira Duarte,MID
2020-21,209362,75,Bernardo Fernandes da Silva Junior,DEF
2020-21,165809,281,Bernardo Mota Veiga de Carvalho e Silva,MID
2020-21,80201,8,Bernd Leno,GKP
2020-21,110504,540,Bertrand Traoré,MID
2020-21,243568,124,Billy Gilmour,MID
2020-21,480818,697,Billy Koumetio,DEF
2020-21,18867,343,Billy Sharp,FWD
2020-21,108156,36,Bjorn Engels,DEF
2020-21,96994,181,Bobby Decordova-Reid,FWD
2020-21,461102,520,Bobby Thomas,DEF
2020-21,466955,147,Brandon Pierrick,MID
2020-21,232937,318,Brandon Williams,DEF
2020-21,41135,530,Branislav Ivanovic,DEF
2020-21,428610,475,Bruno André Cavaco Jordao,MID
2020-21,141746,302,Bruno Miguel Borges Fernandes,MID
2020-21,223340,24,Bukayo Saka,MID
2020-21,470255,700,Caleb Taylor,DEF
2020-21,456966,636,Caleb Watts,MID
2020-21,209046,122,Callum Hudson-Odoi,MID
2020-21,171975,358,Callum Robinson,FWD
2020-21,75115,506,Callum Wilson,FWD
2020-21,101184,13,Calum Chambers,DEF
2020-21,168763,521,Cameron Carter-Vickers,DEF
2020-21,200720,560,Caoimhin Kelleher,GKP
2020-21,245824,564,Carlos Vinicius Alves Morais,FWD
2020-21,478912,672,Carney Chukwuemeka,MID
2020-21,183015,499,Cedric Kipre,DEF
2020-21,228798,541,Cengiz Ünder,MID
